"fault_code","vendor_explanation","vendor_recommended_action"
"F1010","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0698","Access Interface Selector has been created. All policies in the corresponding interface policy group should get deployed on all node in that selector. Fault has been raised because those node level policies have not been pushed to this node."," If you see this fault take the following actions - Verify that corresponding node is ready to recieve policies - Verify that corresponding node is capable of handling those access interface level policies - If the above conditions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F0992","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0984","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0983","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0993","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0697","Access Module Selector has been created. All policies in the corresponding module policy group should get deployed on all node in that selector. Fault has been raised because those node level policies have not been pushed to this node."," If you see this fault take the following actions - Verify that corresponding node is ready to recieve policies - Verify that corresponding node is capable of handling those access module level policies - If the above conditions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1236","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0994","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0988","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0998","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0999","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0696","Access Node Selector has been created. All policies in the corresponding node policy group should get deployed on all node in that node selecotor. Fault has been raised because those node level policies have not been pushed to this node."," If you see this fault take the following actions - Verify that corresponding node is ready to recieve policies - Verify that corresponding node is capable of handling those access node level policies - If the above conditions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1004","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1005","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1006","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0995","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0996","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0997","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1427","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0981","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0323","This fault occurs when controller reports lost connectivity to leader replica for some data subsets of specific service. Service cannot process request in this state.","Check cluster connectivity. Are all expected controllers reported available in cluster? If not,is the reported cluster configuration stable or changes from query to query? Are there frequent brief interruptions of availability between controllers,or rarer prolonged unavailability periods? If controllers are available check if the service is running in all controllers. Report any process crash and cores.  "
"F1262","This fault occurs when controller reports some services do not have optimal leaders for some of the shards.","Check that you are running with atleast 3 IFCs and all the IFCs are reported available in cluster.  "
"F0321","This fault occurs when controller reports data layer to be out of fully functional state.","Check cluster connectivity. Are all expected controllers reported avaialable in cluster? If not,is the reported cluster configuration stable or changes from quiry to quiry? Are missing controllers(if any) sustainably reachable from controllers remaining available in the cluster by means of operating system? Are there reported statistical faults related to cluster availablitlity? What is the nature of these faults? Are there frequent brief interruptions of avaialability between controllers,or rarer prolonged unavailability periods? Check if all services are up and check for process crash / cores.  "
"F1425","This fault occurs when the operational state of the ipv4 address state is changed to subnet-overlap/no primary/addr already confgd as next hop in a static route","Look at any configuration issues Verify the configuration is correct/complete"
"F0381","This fault usually occurs when protocol bring up on a VRF fails.","Try shutting down and restarting the ISIS instance. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0379","This fault usually occurs when process does not continue normally after a sequence number wrap.","Try shutting down and restarting the ISIS instance. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0382","This fault usually occurs when route-updates to/from unicast-routing-info-base fails.","Try shutting down and restarting the ISIS instance. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0360","This event occurs when the oper state of a Mcast tree changes to inactive.",
"F0361","This event occurs when the tree diameter of a Mcast tree is deemed large.",
"F0391","This fault usually occurs when ISIS interface specific initaliztion fails.","Try shutting down and restarting the ISIS instance. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0394","This fault usually occurs when ISIS interface specific protocol handling fails","Try shutting down and restarting the ISIS instance. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0396","This fault usually occurs when ISIS detects duplicate system Id in the network.","Please change the 'net' configured for this ISIS instance or on the peer-system. "
"F0395","This fault usually occurs when ISIS High-Availability recovery fails.","System will continue in grace-ful switchover or cold-start mode as fallback mode. Please generate the show tech-support file and contact Cisco TAC if the condition persists. "
"F0378","","Try shutting down and restarting the ISIS instance. If the above does not work try rebooting the switch. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0377","This fault occurs when the isis instance memory alert is critical",
"F0387","This fault usually occurs when inter-process communication error happens.","Try shutting down and restarting the ISIS instance. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1016","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1197","This fault occurs when the ep learning is disabled","Check network connectivity for stp flaps If the network connectivity is fine,generate the show tech-support file and contact Cisco TAC. "
"F1364","This fault occurs when the arp flood knob is not set in bridge only mode","Set the arp flood knob for this BD If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1342","This fault occurs when configuration on vlan fails","Please verify the configuration. "
"F1017","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1018","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1020","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1021","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1019","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1022","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0350","This fault occurs when multiple neighbors are discovered on the interface","To recover from this fault, try the following actions, Step 1 Reduce the number of multicast groups in the network behind the leaf node, Step 2 If the above actions did not resolve the issue, generate the show tech-support file and contact Cisco TAC."
"F0351","This fault occurs when the port vlan mismatch happens with the value sent by the neighbor","Look at native vlan configuration on the node and the peer for mismatch If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1372","This fault occurs when the port vlan is locally configured but the neighbor does not send port vlan info","Look at native vlan configuration on the node and the make sure the peer matches it If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1392","This fault occurs when the port vlan mismatch happens with the value sent by the neighbor (host)","Look at native vlan configuration on the node and the peer for mismatch If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1393","This fault occurs when the port vlan is locally configured but the neighbor (host) does not send port vlan info","Look at native vlan configuration on the node and the make sure the peer matches it If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1023","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1024","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1025","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1026","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1434","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0131","This fault occurs when software upgrade fails on a fabric node","Reboot node and retry installation via policy Reboot node and retry installation via command line interface If above actions did not resolve the issue,create a show tech-support file and contact Cisco TAC. "
"F0105","This fault occurs when software upgrade fails on a controller","Reboot node and retry installation via policy Reboot node and retry installation via command line interface If above actions did not resolve the issue,create a show tech-support file and contact Cisco TAC. "
"F1433","This fault occurs when upgrade is paused due to cluster not being healthy","Debug why the cluster is not healthy. Once you have fixed the reason,then the fault will clear automatically upon next upgrade If the above action did not resolve the issue,create a show tech-support file and contact Cisco TAC. "
"F1432","This fault occurs when upgrade is paused on a group due to one or more members of the group fail to be upgraded and the maintenance policy specifies pauseOnFailure","Debug why the upgrade failed. Once you have fixed the reason,then unpause the scheduler on this maintenance group using UI/API If the above action did not resolve the issue,create a show tech-support file and contact Cisco TAC. "
"F1027","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1031","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1029","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1400","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1028","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1030","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1397","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1032","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1033","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1297","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0214","This fault is raised when there is an issue with respect to the openflex device","To restore,delete and re-Add the openflex device. If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1385","This fault occurs when the adjacency state is not up","Look at any configuration issues Verify the configuration is correct/complete Check network connectivity to the peer If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0338","This fault occurs when the ospf instance memory alert is critical","Look at any configuration issues Verify the configuration is correct/complete Reduce the number of ospf enabled interfaces Reduce the number of routes into ospf If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1034","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0601","This fault occurs when port goes to hot standby.",
"F0602","This fault occurs when hot standby port goes down.",
"F0603","This fault occurs when port becomes operationally individual.","Please verify the configuration on both ends of the port-channel. "
"F0604","This fault occurs when individual port goes down.",
"F0600","This fault occurs when port has been suspended by LACP.","Please verify the configuration on both ends of the port-channel. "
"F1371","This fault occurs when deployment of policy fails.","Check network connectivity "
"F0756","This fault occurs when a named relation cannot be resolved to the specified target.","Verify the configuration is correct / complete and that a target with the specified name exists If the above action did not resolve the issue,contact Cisco TAC. "
"F0888","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1419","This fault occurs when a DME dies on a IFC","If the above actions did not resolve the issue,create a show tech-support file and contact Cisco TAC."
"F1194","This fault occurs when qos manager fails to activate a class due to hardware programming failure","Look at any configuration issues Verify the configuration is correct/complete Delete the qos class and add it back If the above actions did not resolve the issue,try rebooting the switch using CLI or GUI. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1196","This fault occurs when qos manager fails to activate a dot1p rule due to hardware programming failure","Look at any configuration issues Verify the configuration is correct/complete Reduce the number of rules and retry "
"F1195","This fault occurs when qos manager fails to activate a dscp rule due to hardware programming failure","Look at any configuration issues Verify the configuration is correct/complete Reduce the number of rules and retry "
"F1035","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1036","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1037","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1038","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1362","This fault occurs when there is an incompatibility between the leaf and the attached FEX",
"F1368","This fault occurs when snmp client security programming fails","Look at any configuration issues Verify the configuration is correct/complete If the above are fine,please retry "
"F1301","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1040","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1369","This fault occurs when snmp user programming fails","Look at any configuration issues Verify the configuration is correct/complete If the above are fine,please retry "
"F1411","This fault is raised when the an individual src related configuration issues.","Verify that thedest related configuration is correct. Review the fault message and add missing configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1328","This fault is raised when the a src related configuration issues.","Verify that thedest related configuration is correct. Review the fault message and add missing configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F0571","This fault is raised when the number of span sessions deployed exceeds the maximum number allowed .","Verify that the number of span sessions deployed is less than the maximum number allowed Review the fault message and add missing configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1316","This fault is raised when the a dest related configuration issues.","Verify that thedest related configuration is correct. Review the fault message and add missing configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1201","This fault occurs when span destination goes to failed state","Look at any configuration issues Verify the configuration is correct/complete Reduce the number of span sessions and retry "
"F0671","This fault is raised when the span policy failed to get deployed.","Verify that the Epg in the relation's target DN is valid and presen. Review the fault message and add missing or remove invalid configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1041","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0569","This fault is raised when the span policy failed to get deployed","Verify that the PathEp in the relation's target DN contains local ports in the node where SrcGroup resides Review the fault message and add missing or remove invalid configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1042","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1048","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1435","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0570","This fault is raised when the span policy failed to get deployed.","Verify that the destionation group in the relation's target DN is present in the fabric. Review the fault message and add missing configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1199","This fault occurs when span source on a port goes to failed state","Look at any configuration issues Verify the configuration is correct/complete Check network connectivity and ensure the port is up "
"F1200","This fault occurs when span source on a circuit goes to failed state","Look at any configuration issues Verify the configuration is correct/complete Check network connectivity and ensure the circuit is up "
"F1050","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1051","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0567","This fault is raised when the span policy failed to get deployed.","Verify that the EpP in the relation's target DN is valid and present. Review the fault message and add missing or remove invalid configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F0670","This fault is raised when the span policy failed to get deployed.","Verify that the Epg in the relation's target DN is valid and present. Review the fault message and add missing or remove invalid configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1045","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1046","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1049","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1436","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1052","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0048","This fault occurs due to an observer stats export session failure.","If you see this fault,please check stats export parameters and health of the destination export server. "
"F1329","This fault occurs due to an observer stats export session failure.","If you see this fault,please check stats export parameters and health of the destination export server. "
"F0098","This fault occurs due to an observer stats export session failure.","If you see this fault,please check stats export parameters and health of the destination export server. "
"F1330","This fault occurs due to an observer stats export session failure.","If you see this fault,please check stats export parameters and health of the destination export server. "
"F1418","This fault occurs whenever a service cores","If you see this fault,report that to tech support "
"F1224","This fault occurs when the svi bring up failed because of hardware programming failure","Try reconfiguring the svi. If the above action did not resolve the issue,try rebooting the switch using CLI or GUI. If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F1053","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1054","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1055","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1414","This fault occurs when a configured syslog server is not reachable.","Verify destination information is correct. Ensure it is reachable (ping/ssh) from the fabric and DNS entries have been configured correctly. If the above action did not resolve the issue,contact Cisco TAC. "
"F1056","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1058","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1059","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1350","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1351","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0648","This fault is raised when the node on which the traceroute policy is configured to run is not found in the fabric.","Verify that the policy for traceroute is applied to the correct node. Check the node id in the target DN (tDn) property Review the fault message and add the missing node or fix the configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1060","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1286","This fault is raised when a spine node is used as a source or destination.","Verify that the policy for traceroute is applied to the correct node. Check the node id in the target DN (tDn) property. Verify that the correct nodes have been chosen as sources and destinations. If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1062","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0482","This fault occurs when destination IP address is unresolved.","To correct this fault,please ensure that the destination IP address is resolved./>"
"F0475","This fault occurs when destination becomes unreachanble.","To correct this fault,please ensure that the destination is reachabe. "
"F0474","This fault occurs when tunnel manager fails to create a tunnel due to hardware failure.","To correct this fault,please attempt to create the tunnel again. "
"F0564","This fault is raised when the controller cannot be deployed due to a missing or invalid configuration.","Verify that the policy for the controller is complete. Review the fault message and add missing or remove invalid configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F0565","This fault is raised when the endpoint group cannot be deployed due to a missing or invalid configuration.","Verify that the namespace for the domain is associated. Review the fault message and add missing or remove invalid configuration If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F1063","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1064","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1068","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1069","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1284","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1070","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1071","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1237","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1065","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1066","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1067","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1315","This fault occurs when the L4-L7 service returns a critical fault",
"F0324","This fault occurs when the L4-L7 service returns a major fault",
"F0320","This fault occurs when the L4-L7 service returns a minor fault",
"F1314","This fault occurs when the L4-L7 service returns a warning fault",
"F0764","This fault occurs when a logical device is being configured in a way which is not compatible with the meta device information supplied by the device package.","If you see this fault,please modify LDev configuration to resolve cause of fault. "
"F0772","This fault occurs when a Logical Interface configuration is invalid.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault."
"F1361","This fault occurs when the there is a failure in starting the service script",
"F0762","This fault occurs when a cfg parameter has an error..","If you see this fault,please modify your configuration to update service graph config parameters and folders."
"F1416","This fault occurs when an Abstract Function Connector (AbsFuncConn) has an error.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault."
"F1336","This fault occurs due to an invalid abstract function profile.","If you see this fault,please ensure that the abstract function profile is valid"
"F0757","This fault occurs due to an invalid service graph configuration","If you see this fault,please modify service graph configuration to fix validation errors.  "
"F0763","This fault occurs when a cfg parameter has an error..","If you see this fault,please modify your configuration to update service graph config parameters and folders. "
"F0765","This fault occurs when a user provided Concrete device configuration is invalid. The config issues the exact reason for the error","If you see this fault,please modify CDev configuration to resolve cause of fault."
"F0326","This fault occurs when the L4-L7 service node configuration fails",
"F1324","This fault occurs when the there is a failure in setting up the management interface to a service node",
"F1379","This fault occurs when a Relation configuration is invalid.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault."
"F0771","This fault occurs when a Connection Inst (ConnectionInst) has an error.The config issues the exact reason for the error.","If you see this fault,please modify your configuration to resolve the cause of fault. "
"F1325","This fault occurs when the there is a failure in setting up the management interface on the controller which is used to communicate to the service node",
"F1377","This fault occurs when a Folder configuration is invalid.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault. "
"F0769","This fault occurs when a Function Connector (FuncConnInst) has an error.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault. "
"F0766","This fault occurs when a config folder has an error. The config issues indicate the exact reason for the error.","If you see this fault,please modify configuration of the folder to resolve the cause of fault."
"F0761","This fault occurs when a cfg parameter has an error..","If you see this fault,please modify your configuration to provide all needed parameters and folders. "
"F0768","This fault occurs when a config GRel has an an error. The config issues indicate the exact reason for the error.","If you see this fault,please modify configuration of the GRel to resolve the cause of fault.  "
"F0758","This fault occurs when a service graph could not be rendered.","If you see this fault,please modify graph configuration to resolve cause of fault.  "
"F0759","This fault occurs when a service graph could not be rendered.","If you see this fault,please modify graph configuration to resolve cause of fault.  "
"F1378","This fault occurs when a Parameter configuration is invalid.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault. "
"F1081","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1082","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1083","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1089","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1086","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1093","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1073","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1074","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1076","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1098","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1077","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1099","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1100","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1088","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1080","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1084","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1095","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1096","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1105","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1375","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1097","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1104","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1101","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1374","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1103","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1102","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1079","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1307","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1085","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1087","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1094","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1107","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1091","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1092","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1090","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1075","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1334","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1106","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1310","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0770","This fault occurs when a Terminal Connector (TermConnInst) has an error.The config issues the exact reason for the error.","If you see this fault,please modify configuration to resolve the cause of fault. "
"F0760","This fault occurs when a service graph could not be rendered.","If you see this fault,please modify graph configuration to resolve cause of fault. "
"F0510","This fault occurs when vpc domain bringup fails due to domain compatibility failure.","Please verify domain configuration on both the peers. "
"F0511","This fault occurs when vpc domain bringup fails due to election error","Please make sure that domain configuration is consistent with the peer. "
"F0507","This fault occurs when vpc domain bringup fails due to all fabric links being down.","Please verify fabric connectivity of the switch."
"F0513","This fault occurs when global configuration on the peers is not consistent.","Please make sure that global configuration is consistent with the peer.  "
"F0512","This fault occurs when vpc domain bringup fails due to keepalive being inoperational.","Please verify keepalive configuration on both the peers. "
"F0508","This fault occurs when vpc domain bringup fails because there is no route to peer.","Please verify peer configuration and fabric connectivity. "
"F0509","This fault occurs when vpc domain bringup fails due to peer being unreachable.",
"F0518","This fault occurs when vPC configuration on the peers is not consistent.","Please make sure that the vPC configuration is consistent with the peer."
"F1296","This fault occurs when vpc interface goes down.","Please verify the port connectivity.  "
"F0522","This event occurs when peer keep-alive receive has failed.",
"F0520","This event occurs when peer keep-alive send has failed",
"F1228","This fault occurs when Contract is incompletely / incorrectly configured.","Look at configIssues Verify the configuration is correct / complete If the above action did not resolve the issue,contact Cisco TAC. "
"F0418","This fault occurs when the vzAny is associated to a vzBrCP of scope != context","Look at BrCPs associated to this contract Verify that all BrCPs have scope of 'context' If the above action did not resolve the issue,contact Cisco TAC. "
"F1112","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1115","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1117","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1129","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
